epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,110.331,0.57581,0.74547,0.46614,0.89959,0.99059,0.94737,0.95133,0.66999,0.99059,0.94737,0.98458,0.75739,1.06412,1.25435,0.66163,1.49173,0.0008516,0.0008516,0.0008516
31,115.727,0.55946,0.69355,0.44452,0.89094,0.99592,0.94737,0.98818,0.70547,0.99592,0.94737,0.98818,0.7468,1.06684,1.37505,0.57251,1.45936,0.000812,0.000812,0.000812
32,119.228,0.55251,0.76749,0.45552,0.88924,1,0.93595,0.95034,0.71923,1,0.93595,0.95034,0.74843,0.96387,1.94828,0.6002,1.38896,0.0007724,0.0007724,0.0007724
33,122.587,0.50442,0.6696,0.41983,0.86815,0.9964,0.94737,0.97214,0.74634,0.9964,0.94737,0.97214,0.78427,0.93735,1.28491,0.57108,1.33344,0.0007328,0.0007328,0.0007328
34,126.027,0.49013,0.61716,0.40233,0.86166,1,0.94471,0.95693,0.75589,1,0.94471,0.95693,0.77716,0.89815,1.35786,0.61847,1.30908,0.0006932,0.0006932,0.0006932
35,129.402,0.50312,0.63329,0.40936,0.88057,1,0.94552,0.95302,0.73253,1,0.94552,0.9863,0.76462,0.90498,1.38982,0.62999,1.28387,0.0006536,0.0006536,0.0006536
36,132.717,0.5201,0.6531,0.42169,0.87638,1,0.99602,0.995,0.77162,1,0.99602,0.995,0.77049,0.91932,1.43283,0.43908,1.28081,0.000614,0.000614,0.000614
37,135.911,0.50675,0.62622,0.41848,0.88099,1,0.99477,0.995,0.77742,1,0.99477,0.995,0.80137,0.89029,1.20107,0.46883,1.30984,0.0005744,0.0005744,0.0005744
38,139.215,0.48552,0.60929,0.39858,0.85886,1,0.99807,0.995,0.72496,1,0.99807,0.995,0.7895,0.95328,1.20774,0.45562,1.36244,0.0005348,0.0005348,0.0005348
39,142.702,0.48288,0.66888,0.39789,0.86291,1,0.99803,0.995,0.7532,1,0.99803,0.995,0.79392,0.91719,1.10329,0.41589,1.34565,0.0004952,0.0004952,0.0004952
40,146.032,0.4483,0.57593,0.37585,0.85451,0.94993,0.99851,0.9925,0.73781,1,0.99827,0.995,0.77568,1.01982,1.14383,0.45463,1.45353,0.0004556,0.0004556,0.0004556
41,152.852,0.4335,0.54032,0.38121,0.84949,1,0.94475,0.98458,0.74332,1,0.94475,0.98458,0.77611,0.93747,1.07979,0.66188,1.3593,0.000416,0.000416,0.000416
42,156.247,0.43398,0.54015,0.36209,0.8569,0.9997,0.94737,0.98458,0.73968,0.9997,0.94737,0.95233,0.7869,0.93529,1.25226,0.53909,1.38168,0.0003764,0.0003764,0.0003764
43,159.406,0.40202,0.50251,0.34077,0.84642,0.99854,0.94737,0.98458,0.73512,0.99854,0.94737,0.95104,0.79509,0.91551,1.09522,0.48582,1.36288,0.0003368,0.0003368,0.0003368
44,162.815,0.39757,0.51082,0.33118,0.82733,0.99573,0.89474,0.94862,0.72105,0.99573,0.89474,0.94862,0.76027,0.94937,1.30766,0.52667,1.38437,0.0002972,0.0002972,0.0002972
45,166.153,0.35877,0.47887,0.30056,0.82318,1,0.947,0.95289,0.74136,1,0.947,0.95289,0.76134,0.93648,1.28772,0.50711,1.39807,0.0002576,0.0002576,0.0002576
46,169.376,0.365,0.46562,0.30699,0.82915,0.99735,0.94737,0.95506,0.74762,0.99735,0.94737,0.95506,0.77893,0.91648,1.28728,0.5085,1.38179,0.000218,0.000218,0.000218
47,172.76,0.36377,0.50862,0.30618,0.81393,0.9974,0.94737,0.95416,0.74549,0.9974,0.94737,0.95416,0.79185,0.92755,1.2854,0.51611,1.38003,0.0001784,0.0001784,0.0001784
48,176.163,0.3513,0.46721,0.2944,0.81645,0.9974,0.94737,0.95506,0.75042,0.9974,0.94737,0.95506,0.7826,0.91939,1.32274,0.48688,1.36214,0.0001388,0.0001388,0.0001388
49,179.588,0.34412,0.46485,0.29773,0.81777,0.99707,0.94737,0.98818,0.75164,0.99707,0.94737,0.95591,0.77694,0.91261,1.35751,0.48443,1.35292,9.92e-05,9.92e-05,9.92e-05
50,184.999,0.34298,0.49605,0.30346,0.8072,0.9969,0.94737,0.99024,0.7451,0.9969,0.94737,0.95591,0.77562,0.91965,1.37377,0.50371,1.3582,5.96e-05,5.96e-05,5.96e-05
